UserID,Name,Location,Age,Occupation,Interests
User_001,Name_1,Eilat,64,Doctor,"Int_013, Int_003, Int_008, Int_010, Int_017, Int_007, Int_002"
User_002,Name_2,Herzliya,46,Student,"Int_011, Int_002, Int_014, Int_005, Int_015"
User_003,Name_3,Eilat,29,Designer,"Int_001, Int_010, Int_008, Int_011, Int_020"
User_004,Name_4,Eilat,53,Teacher,"Int_008, Int_018, Int_005, Int_009, Int_002"
User_005,Name_5,Herzliya,63,Student,"Int_011, Int_009, Int_017, Int_019, Int_020, Int_007"
User_006,Name_6,Herzliya,61,Designer,"Int_008, Int_013, Int_001"
User_007,Name_7,Herzliya,65,Doctor,"Int_003, Int_012, Int_017, Int_016, Int_009, Int_004, Int_001"
User_008,Name_8,Haifa,23,Designer,"Int_010, Int_020, Int_001"
User_009,Name_9,Haifa,36,Doctor,"Int_010, Int_008, Int_018, Int_014, Int_020"
User_010,Name_10,Tel Aviv,62,Designer,"Int_004, Int_018, Int_009, Int_005, Int_014, Int_012, Int_007"
User_011,Name_11,Herzliya,18,Developer,"Int_017, Int_004, Int_007, Int_011"
User_012,Name_12,Haifa,52,Designer,"Int_011, Int_020, Int_014, Int_010, Int_001"
User_013,Name_13,Eilat,54,Doctor,"Int_015, Int_018, Int_005"
User_014,Name_14,Haifa,39,Designer,"Int_017, Int_009, Int_011, Int_008, Int_010"
User_015,Name_15,Haifa,65,Doctor,"Int_006, Int_016, Int_005, Int_014, Int_018, Int_013"
User_016,Name_16,Haifa,31,Doctor,"Int_008, Int_010, Int_018, Int_013, Int_016, Int_002"
User_017,Name_17,Eilat,58,Developer,"Int_001, Int_006, Int_020"
User_018,Name_18,Haifa,59,Teacher,"Int_015, Int_006, Int_002, Int_019, Int_005, Int_007"
User_019,Name_19,Herzliya,30,Teacher,"Int_007, Int_013, Int_006"
User_020,Name_20,Herzliya,55,Teacher,"Int_014, Int_017, Int_006, Int_002, Int_015"
User_021,Name_21,Herzliya,47,Student,"Int_004, Int_019, Int_001, Int_002, Int_008, Int_016, Int_010"
User_022,Name_22,Jerusalem,25,Designer,"Int_016, Int_008, Int_009"
User_023,Name_23,Tel Aviv,37,Designer,"Int_004, Int_020, Int_001, Int_003, Int_009, Int_005, Int_002"
User_024,Name_24,Jerusalem,47,Teacher,"Int_014, Int_010, Int_020, Int_011, Int_019, Int_013"
User_025,Name_25,Haifa,18,Designer,"Int_018, Int_011, Int_010, Int_005, Int_004, Int_006, Int_002"
User_026,Name_26,Tel Aviv,62,Designer,"Int_019, Int_004, Int_020, Int_007"
User_027,Name_27,Haifa,61,Artist,"Int_002, Int_005, Int_020, Int_016, Int_007, Int_003"
User_028,Name_28,Jerusalem,45,Designer,"Int_005, Int_017, Int_002, Int_018"
User_029,Name_29,Herzliya,25,Doctor,"Int_019, Int_013, Int_014, Int_002"
User_030,Name_30,Herzliya,38,Teacher,"Int_010, Int_001, Int_011, Int_005, Int_018"
User_031,Name_31,Tel Aviv,43,Developer,"Int_016, Int_011, Int_009, Int_014, Int_013, Int_017"
User_032,Name_32,Haifa,59,Student,"Int_004, Int_011, Int_019, Int_007, Int_010"
User_033,Name_33,Tel Aviv,24,Designer,"Int_002, Int_007, Int_006, Int_020, Int_004, Int_017, Int_015"
User_034,Name_34,Eilat,19,Developer,"Int_004, Int_016, Int_013"
User_035,Name_35,Jerusalem,37,Designer,"Int_012, Int_014, Int_006, Int_019, Int_010, Int_004, Int_016"
User_036,Name_36,Herzliya,58,Student,"Int_001, Int_016, Int_012, Int_017, Int_018, Int_014, Int_008"
User_037,Name_37,Jerusalem,50,Teacher,"Int_007, Int_003, Int_012, Int_015, Int_004, Int_005, Int_009"
User_038,Name_38,Haifa,51,Student,"Int_015, Int_020, Int_009, Int_004, Int_012"
User_039,Name_39,Haifa,41,Artist,"Int_015, Int_016, Int_012"
User_040,Name_40,Eilat,36,Teacher,"Int_019, Int_002, Int_013, Int_016, Int_007, Int_009, Int_017"
User_041,Name_41,Eilat,50,Student,"Int_017, Int_012, Int_015, Int_014"
User_042,Name_42,Haifa,24,Artist,"Int_016, Int_014, Int_002, Int_004, Int_005, Int_015"
User_043,Name_43,Herzliya,54,Doctor,"Int_011, Int_002, Int_020"
User_044,Name_44,Haifa,45,Artist,"Int_003, Int_009, Int_012, Int_014, Int_010"
User_045,Name_45,Jerusalem,55,Developer,"Int_012, Int_003, Int_016"
User_046,Name_46,Tel Aviv,30,Teacher,"Int_015, Int_013, Int_002, Int_006, Int_016"
User_047,Name_47,Haifa,24,Artist,"Int_012, Int_015, Int_003"
User_048,Name_48,Herzliya,54,Developer,"Int_007, Int_003, Int_009, Int_011, Int_017"
User_049,Name_49,Tel Aviv,18,Doctor,"Int_014, Int_019, Int_009"
User_050,Name_50,Jerusalem,29,Teacher,"Int_008, Int_004, Int_009, Int_012, Int_006"

try it again. fit the names etc. to our theme in the overlapp idea

